client_id,loss,accuracy,round,agg_loss,agg_accuracy
,,,1.0,0.0363933634189983,0.3727557411273486
5.0,0.0334499244328053,0.3920545253592042,1.0,,
8.0,0.0333768858248488,0.3872651356993737,1.0,,
2.0,0.033525738064083,0.3868353186786197,1.0,,
7.0,0.0335311095163831,0.3864669040894019,1.0,,
0.0,0.0634376576707182,0.2064963772565393,1.0,,
3.0,0.0335319514914635,0.3880633673093454,1.0,,
9.0,0.0332168775109566,0.3948790372098735,1.0,,
6.0,0.0331136239302563,0.3984403782389782,1.0,,
1.0,0.0333441607667819,0.3908264767284784,1.0,,
4.0,0.0334057049816866,0.3962298907036718,1.0,,
,,,2.0,0.0188692938512158,0.7450018420729461
0.0,0.0900622022308589,0.3921159277907405,2.0,,
8.0,0.010913785447744,0.7846616726022351,2.0,,
9.0,0.010844354593357,0.7860125260960334,2.0,,
1.0,0.0111149224140098,0.7817757583200294,2.0,,
3.0,0.0111167347487544,0.7820213680461746,2.0,,
7.0,0.0108525791175386,0.7863195382537148,2.0,,
5.0,0.011042046911825,0.7840476482868721,2.0,,
6.0,0.0107153649267482,0.7899422817143559,2.0,,
2.0,0.0109603173859681,0.7823283802038561,2.0,,
4.0,0.0110706307353543,0.7807933194154488,2.0,,
,,,3.0,0.0175644560995081,0.77230136313398
5.0,0.0092988713951759,0.8119243522043473,3.0,,
0.0,0.0924898367995026,0.4059928773179418,3.0,,
1.0,0.009405748024043,0.8113103278889844,3.0,,
3.0,0.0093336708603071,0.8132138032666093,3.0,,
8.0,0.0092360603308686,0.8130295959720005,3.0,,
6.0,0.0090544455363682,0.8142576446027263,3.0,,
4.0,0.0093609976044571,0.8088542306275328,3.0,,
7.0,0.0090910787666135,0.817818985631831,3.0,,
9.0,0.0091146734131066,0.8166523394326415,3.0,,
2.0,0.0092591782646391,0.809959474395186,3.0,,
,,,4.0,0.0170635563566279,0.7849379835441483
5.0,0.0084212348807521,0.8266609357730567,4.0,,
0.0,0.0954167463116866,0.4127471447869336,4.0,,
2.0,0.0083694924101421,0.8243276433746777,4.0,,
4.0,0.008481270899779,0.8242048385116051,4.0,,
1.0,0.0085379193338732,0.8231609971754882,4.0,,
3.0,0.0084192133167225,0.8238364239223873,4.0,,
6.0,0.0081790295639627,0.8278889844037823,4.0,,
8.0,0.0083676811834232,0.8277047771091736,4.0,,
9.0,0.0082213691950766,0.8286258135822179,4.0,,
7.0,0.0082216064708613,0.8302222768021613,4.0,,
,,,5.0,0.016524096984971176,0.7926808301608743
5.0,0.00790680826797278,0.8359941053665725,5.0,,
1.0,0.008039266134558623,0.8328011789266855,5.0,,
7.0,0.007748636450372837,0.8372835564288346,5.0,,
3.0,0.007927530889032105,0.8332923983789758,5.0,,
2.0,0.007892422128277066,0.8318187400221049,5.0,,
8.0,0.007899110716595253,0.8340292275574113,5.0,,
6.0,0.007695342021903139,0.8369765442711531,5.0,,
4.0,0.007972402650696866,0.8319415448851775,5.0,,
0.0,0.09442954474492139,0.4169225101314012,5.0,,
9.0,0.007729905845381683,0.8357484956404274,5.0,,
